Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage
Construction,North America,Brazil,2010,89.13,90.14,98.37,118.36,31.41,0.77,941.06,13096.32,52.79,7.78,11.17,2.93
Mining,Europe,Germany,2006,224.81,931.7,10.81,66.73,39.45,0.21,1421.94,24337.71,50.18,31.52,13.34,9.3
Manufacturing,South America,South Africa,2017,179.72,255.14,55.36,111.67,1.25,4.97,522.75,24523.17,65.22,5.91,-9.88,4.77
Construction,Europe,India,2018,23.28,887.29,78.99,123.6,46.81,13.77,1304.6,12616.18,23.69,7.52,-0.64,8.21
Construction,Africa,China,2013,124.54,923.03,65.93,52.32,35.67,13.91,1437.68,4476.0,94.64,8.54,5.98,0.84
Mining,Asia,Australia,2016,251.47,490.32,89.71,47.23,47.5,11.75,733.44,7588.42,43.0,40.74,13.75,4.98
Manufacturing,Europe,Brazil,2022,94.95,412.26,44.23,178.1,13.31,9.32,355.53,8892.89,47.89,90.1,-0.34,-2.1
Manufacturing,Europe,India,2018,144.94,278.5,42.77,129.53,46.92,4.88,230.36,5629.71,98.51,6.32,-1.91,3.65
Construction,Oceania,South Africa,2021,146.85,807.48,2.71,62.28,22.73,16.76,752.64,18659.66,92.06,75.74,9.25,-4.67
Energy,North America,Germany,2012,185.59,196.99,1.66,110.2,7.66,11.51,1352.04,1381.48,86.71,0.49,6.92,8.57
Construction,Africa,South Africa,2022,265.26,622.31,69.3,141.51,36.89,6.94,984.09,11308.66,98.85,69.18,-8.77,3.61
Construction,Europe,Canada,2002,52.47,567.35,47.2,4.62,34.77,3.05,1157.41,23331.9,61.67,48.91,3.2,-0.96
Construction,Africa,South Africa,2001,151.63,249.27,66.06,183.97,46.1,13.22,663.16,19302.16,49.59,19.3,7.01,2.34
Construction,North America,China,2008,127.57,983.06,23.9,143.47,15.27,3.99,474.82,5813.02,28.97,87.34,-5.86,1.93
Mining,Oceania,Brazil,2006,89.13,846.4,86.32,78.51,31.5,10.52,1463.12,1476.57,78.57,60.55,4.48,-3.28
Manufacturing,Africa,India,2013,275.92,21.02,90.3,186.46,48.01,8.76,312.98,19364.78,51.43,90.11,-8.63,3.98
Mining,North America,China,2004,2.95,422.54,66.26,11.26,43.63,4.09,1403.47,3065.99,65.7,71.6,-1.55,8.55
Mining,North America,Germany,2019,37.07,359.29,27.85,150.86,41.14,15.62,1329.24,87.29,33.69,19.02,-9.99,1.17
Mining,South America,Australia,2014,220.14,882.87,21.69,105.3,43.95,9.22,179.01,1037.27,39.25,26.69,5.31,5.41
Construction,Oceania,Brazil,2019,79.4,264.86,62.59,132.99,42.23,0.6,438.97,15452.29,60.59,68.46,-3.67,8.3
Energy,Oceania,Australia,2000,217.09,998.45,94.08,94.33,19.02,10.12,1255.1,3223.35,78.55,53.18,13.29,0.23
Manufacturing,Africa,China,2019,249.76,200.48,57.85,29.53,0.88,4.21,460.51,5126.35,47.21,64.63,-9.86,9.49
Energy,Asia,Germany,2006,76.76,244.26,83.95,52.23,49.38,19.86,836.52,1011.82,96.13,67.57,12.2,-1.43
Mining,South America,Germany,2004,57.99,666.25,56.58,92.66,38.77,12.98,853.01,13538.02,81.83,39.41,13.55,0.48
Mining,Oceania,India,2003,44.02,161.48,67.49,183.78,11.37,2.03,1091.62,2127.15,36.85,95.08,-9.42,-3.8
Energy,North America,Canada,2010,60.43,888.86,56.82,13.76,37.42,10.14,1414.39,5824.08,74.17,66.61,0.66,-1.18
Energy,Oceania,South Africa,2018,80.52,110.37,57.58,21.03,18.29,7.97,27.03,11984.9,65.89,67.05,12.59,6.31
Energy,Asia,Germany,2005,260.69,983.33,73.95,30.63,12.41,11.89,1399.87,480.37,51.17,8.64,9.59,2.97
Mining,Europe,Canada,2019,231.12,874.71,39.68,126.46,28.34,13.23,1249.98,12860.84,48.29,39.75,-8.33,7.68
Mining,Europe,Germany,2017,1.05,839.74,90.41,73.32,0.63,9.13,179.2,4107.31,79.0,94.88,13.17,-0.71
Manufacturing,Oceania,South Africa,2004,262.3,407.51,86.36,29.93,48.83,12.82,1015.26,15136.02,51.28,30.11,-6.54,7.68
Manufacturing,Oceania,USA,2019,24.1,513.88,72.56,24.48,47.16,5.82,1008.22,6443.65,79.81,22.87,13.6,-1.52
Mining,South America,Germany,2014,196.75,456.63,74.37,134.86,39.53,0.84,417.0,20400.66,48.24,25.94,6.97,-0.54
Energy,Oceania,Brazil,2020,45.87,987.43,41.38,92.57,2.77,1.21,1157.95,17091.04,64.72,6.31,-6.65,2.49
Energy,Asia,Australia,2019,19.15,35.31,83.27,174.56,3.84,17.06,1308.3,14030.21,38.68,41.19,7.21,5.91
Manufacturing,Oceania,Australia,2005,228.05,382.02,93.27,80.86,32.45,6.89,371.69,15941.56,32.12,72.39,13.29,9.69
Mining,Africa,China,2003,140.43,968.4,79.54,131.18,40.01,18.87,1246.74,24974.62,61.68,50.55,5.48,6.49
